Name, Year, Durasi(Menit), Rating, Rated 
Yojimbo,1961,110,9.3,PG
Monty Python and the Holy Grail,1975,91,9.3,12A
The Great Escape,1963,172,9.3,PG
Finding Nemo,2003,100,9.3,U
Prisoners,2013,153,9.3,15
Howl's Moving Castle,2004,119,9.3,U
Rashomon,1950,88,9.3,X
The Elephant Man,1980,124,9.3,PG
Dial M for Murder,1954,105,9.3,PG
Chinatown,1974,130,9.3,X
Gone with the Wind,1939,238,9.3,PG
Lock: Stock and Two Smoking Barrels,1998,107,9.3,18
The Secret in Their Eyes,2009,129,9.3,18
V for Vendetta,2005,132,9.3,15
Inside Out,2015,95,9.3,U
Raging Bull,1980,129,9.3,X
Three Billboards Outside Ebbing: Missouri,2017,115,9.3,15
Trainspotting,1996,93,9.3,18
The Bridge on the River Kwai,1957,161,9.3,PG
Klaus,2019,96,9.3,PG
Fargo,1996,98,9.3,18
Catch Me If You Can,2002,141,9.3,12A
Spider-Man: No Way Home,2021,148,9.3,12A
Warrior,2011,140,9.3,12A
Gran Torino,2008,116,9.3,15
Million Dollar Baby,2004,132,9.3,12A
Harry Potter and the Deathly Hallows: Part 2,2011,130,9.3,12A
My Neighbour Totoro,1988,86,9.3,U
Children of Heaven,1997,89,9.3,PG
Years a Slave,2013,134,9.3,15
Ben-Hur,1959,212,9.3,PG
Blade Runner,1982,117,9.3,AA
Before Sunrise,1995,101,9.3,15
The Grand Budapest Hotel,2014,99,9.3,15
Barry Lyndon,1975,185,9.3,PG
Mad Max: Fury Road,2015,185,9.3,15
Gone Girl,2014,149,9.3,18
Hacksaw Ridge,2016,139,9.3,15
The Gold Rush,1925,95,9.3,U
Dead Poets Society,1989,128,9.3,PG
Memories of Murder,2003,131,9.3,15
In the Name of the Father,1993,133,9.3,15
Wild Tales,2014,122,9.3,15
The Deer Hunter,1978,183,9.3,X
Monsters: Inc.,2001,92,9.3,U
The General,1926,78,9.3,U
On the Waterfront,1954,108,9.3,PG
Sherlock Jr.,1924,108,9.3,U
How to Train Your Dragon,2010,98,9.3,PG
Jaws,1975,124,9.3,PG
The Third Man,1949,104,9.3,PG
The Wages of Fear,1953,131,9.3,PG
Mary and Max,2009,92,9.3,12A
Wild Strawberries,1957,91,9.3,PG
Ratatouille,2007,111,9.3,PG
Mr. Smith Goes to Washington,1939,129,9.3,U
Le Mans '66,2019,152,9.3,12A
Tokyo Story,1953,136,9.3,U
The Big Lebowski,1998,117,9.3,18
Room,2015,118,9.3,15
Rocky,1976,118,9.3,PG
The Seventh Seal,1957,96,9.3,PG
Logan,2017,137,9.3,15
Spotlight,2015,129,9.3,15
Hotel Rwanda,2004,121,9.3,12A
The Terminator,1984,107,9.3,18
Platoon,1986,107,9.3,15
La haine,1995,98,9.3,15
The Passion of Joan of Arc,1928,110,9.3,PG
Before Sunset,2004,80,9.3,15
The Best Years of Our Lives,1946,170,9.3,U
Pirates of the Caribbean: The Curse of the Black Pearl,2003,143,9.3,12A
The Exorcist,1973,122,9.3,X
Jai Bhim,2021,164,9.3,Not Rated
Rush,2013,123,9.3,15
Network,1976,121,9.3,AA
The Wizard of Oz,1939,102,9.3,A
Stand by Me,1986,89,9.3,15
The Incredibles,2004,115,9.3,U
Hachi: A Dog's Tale,2009,93,9.3,U
My Father and My Son,2005,112,9.3,PG
The Handmaiden,2016,145,9.3,18
The Sound of Music,1965,172,9.3,U
Into the Wild,2007,148,9.3,15
To Be or Not to Be,1942,99,9.3,U
The Battle of Algiers,1966,121,9.3,X
The Grapes of Wrath,1940,129,9.3,PG
Groundhog Day,1993,101,9.3,PG
Amores perros,2000,154,9.3,18
The Iron Giant,1999,86,9.3,PG
Rebecca,1940,130,9.3,PG
Cool Hand Luke,1967,127,9.3,A
The Help,2011,146,9.3,12A
It Happened One Night,1934,105,9.3,A
Drishyam,2015,163,9.3,12A
Dances with Wolves,1990,181,9.3,PG
Aladdin,1992,90,9.3,U
Gangs of Wasseypur,2012,321,9.3,18
