Name;Year;Durasi(Menit);Rating;Rated;Budget;Gross_Us;Opening_Week;Open_Week_Date;Gross_World;Runtime;Color;Sound_Mix;Aspect_Ratio
Trainspotting;1996;93.0;8.1;18;1500000;16491080;262673;1996-07-21 00:00:00;16970564;93;Color;Dolby SR;1.85 : 1
The Bridge on the River Kwai;1957;161.0;8.1;PG;0;0;0;1900-01-01 00:00:00;0;0;;;
Klaus;2019;96.0;8.2;PG;0;0;0;1900-01-01 00:00:00;0;96;Color;Dolby Atmos;1.85 : 1
Fargo;1996;98.0;8.1;18;7000000;24611975;730265;1996-03-10 00:00:00;60611975;98;Color;Dolby SR;1.85 : 1
Catch Me If You Can;2002;141.0;8.1;12A;52000000;164615351;30053627;2002-12-29 00:00:00;352114312;141;Color;DTSDolby DigitalSDDS;1.85 : 1
Spider-Man: No Way Home;2021;148.0;8.2;12A;200000000;814866759;260138569;2021-12-19 00:00:00;1922598800;0;;;
Warrior;2011;140.0;8.1;12A;25000000;13657115;5242107;2011-09-11 00:00:00;23308615;140;Color;Dolby DigitalDatasatSDDSDolby Surround 7.1Dolby Atmos;2.35 : 1
Gran Torino;2008;116.0;8.1;15;33000000;148095302;271720;2008-12-14 00:00:00;269958228;116;Color;DTSDolby DigitalSDDS;2.39 : 1
Harry Potter and the Deathly Hallows: Part 2;2011;130.0;8.1;12A;125000000;381447587;169189427;2011-07-17 00:00:00;1342480797;130;Color;Dolby DigitalDatasatDolby Surround 7.1SDDSSonics-DDP;2.39 : 1
Million Dollar Baby;2004;132.0;8.1;12A;30000000;100492203;179953;2004-12-19 00:00:00;216763646;132;Color;DTSDolby DigitalSDDS;2.39 : 1
My Neighbour Totoro;1988;86.0;8.1;U;3700000;2250213;539245;2018-09-30 00:00:00;30695952;0;;;
Children of Heaven;1997;89.0;8.2;PG;180000;933933;20100;1999-01-24 00:00:00;933933;89;Color;Mono;1.85 : 1
Ben-Hur;1959;212.0;8.1;PG;15000000;74432704;241792;2019-04-14 00:00:00;74437981;0;;;
