Name,Budget,Gross_Us,Opening_Week,Open_Week_Date,Gross_World,Runtime,Color,Sound_Mix,Aspect_Ratio
Trainspotting,1500000,16491080,262673,1996-07-21 00:00:00,16950946,93,Color,Dolby SR,1.85 : 1
The Bridge on the River Kwai,0,0,0,1900-01-01 00:00:00,0,161,Color,Dolby Atmos,2.55 : 1
Klaus,0,0,0,1900-01-01 00:00:00,0,96,Color,Dolby Atmos,1.85 : 1
Fargo,7000000,24611975,730265,1996-03-10 00:00:00,60611975,98,Color,Dolby SR,1.85 : 1
Catch Me If You Can,52000000,164615351,30053627,2002-12-29 00:00:00,352114312,141,Color,DTSDolby DigitalSDDS,1.85 : 1
Spider-Man: No Way Home,200000000,814866759,260138569,2021-12-19 00:00:00,1922598800,0,None,None,None
Warrior,25000000,13657115,5242107,2011-09-11 00:00:00,23308615,140,Color,Dolby DigitalDatasatSDDSDolby Surround 7.1Dolby Atmos,2.35 : 1
Gran Torino,33000000,148095302,271720,2008-12-14 00:00:00,269958228,116,Color,DTSDolby DigitalSDDS,2.39 : 1
Million Dollar Baby,30000000,100492203,179953,2004-12-19 00:00:00,216763646,132,Color,DTSDolby DigitalSDDS,2.39 : 1
Harry Potter and the Deathly Hallows: Part 2,125000000,381447587,169189427,2011-07-17 00:00:00,1342480797,130,Color,Dolby DigitalDatasatDolby Surround 7.1SDDSSonics-DDP,2.39 : 1
My Neighbour Totoro,3700000,2250213,539245,2018-09-30 00:00:00,30695952,0,None,None,None
Children of Heaven,180000,933933,20100,1999-01-24 00:00:00,933933,89,Color,Mono,1.85 : 1
12 Years a Slave,20000000,56671993,923715,2013-10-20 00:00:00,187734091,134,Color,Dolby DigitalSDDSDolby Surround 7.1,2.35 : 1
Ben-Hur,15000000,74432704,241792,2019-04-14 00:00:00,74437981,0,None,None,None
Blade Runner,28000000,32914489,6150002,1982-06-27 00:00:00,41757237,117,Color,Dolby Atmos,2.39 : 1
Before Sunrise,2500000,5535405,1423537,1995-01-29 00:00:00,5993086,0,None,None,None
The Grand Budapest Hotel,25000000,59301324,811166,2014-03-09 00:00:00,174567384,0,None,None,None
Barry Lyndon,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Mad Max: Fury Road,150000000,154280290,45428128,2015-05-17 00:00:00,380418444,0,Color,Dolby DigitalDatasatSDDSDolby Atmos,2.39 : 1
Gone Girl,61000000,167767189,37513109,2014-10-05 00:00:00,370890259,149,Color,Dolby DigitalDolby AtmosDatasatDolby Surround 7.1,2.39 : 1
Hacksaw Ridge,40000000,67209615,15190758,2016-11-06 00:00:00,180563636,139,Color,Dolby Atmos,2.35 : 1
The Gold Rush,0,0,0,1900-01-01 00:00:00,0,95,Black and White,Silent(original release),1.33 : 1
Dead Poets Society,16400000,95860116,340456,1989-06-04 00:00:00,235860116,0,None,None,None
Memories of Murder,2800000,15357,4487,2005-07-17 00:00:00,1208481,131,Color,Dolby Digital,1.85 : 1
In the Name of the Father,13000000,25096862,109805,1994-01-02 00:00:00,65796862,133,Color,Dolby StereoDTS,1.85 : 1
Wild Tales,3300000,3106530,85100,2015-02-22 00:00:00,31478893,122,Color,Dolby Surround 7.1,2.35 : 1
The Deer Hunter,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Monsters, Inc.,115000000,290642256,62577067,2001-11-04 00:00:00,579723768,92,Color,SDDSDolby Digital,1.85 : 1
The General,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
On the Waterfront,0,0,0,1900-01-01 00:00:00,0,0,None,None,None
Sherlock Jr.,0,0,0,1900-01-01 00:00:00,0,0,Black and White,Silent,1.33 : 1
How to Train Your Dragon,165000000,217581231,43732319,2010-03-28 00:00:00,494879860,98,Color,Dolby DigitalDTSSDDS,2.39 : 1
